scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
151052,HSBC Money Market Fund - Direct Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,12.1935,27-10-2023
151053,HSBC Money Market Fund - Direct Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,13.1838,27-10-2023
151054,HSBC Money Market Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,24.3956,27-10-2023
151055,HSBC Money Market Fund - Direct Daily IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,10.8591,27-10-2023
151056,HSBC Equity Savings Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,13.3997,27-10-2023
151057,HSBC Equity Savings Fund - Regular Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,14.3597,27-10-2023
151058,HSBC Equity Savings Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,26.0022,27-10-2023
151059,HSBC Equity Savings Fund - Direct Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,15.6069,27-10-2023
151060,HSBC Equity Savings Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,28.4049,27-10-2023
151061,HSBC Equity Savings Fund - Direct Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,14.9777,27-10-2023
151062,HSBC Short Duration Fund - Bonus,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,23.1636,27-10-2023
151063,HSBC Short Duration Fund -  Regular Plan - Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,11.0471,27-10-2023
151064,HSBC Short Duration Fund - Regular Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,10.5312,27-10-2023
151065,HSBC Short Duration Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,23.1644,27-10-2023
151067,HSBC Short Duration Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,24.3641,27-10-2023
151068,HSBC Short Duration Fund - Direct Plan -  Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,11.7163,27-10-2023
151069,HSBC Short Duration Fund - Direct Quarterly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,11.3163,27-10-2023
151070,HSBC Short Duration Fund - Direct Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,12.66,27-10-2023
151071,HSBC Short Duration Fund - Regular Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Short Duration Fund,12.1726,27-10-2023
151076,HSBC ELSS Tax saver Fund - Regular Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,89.0044,27-10-2023
151077,HSBC ELSS Tax saver Fund - Regular IDCW Payout,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,24.4253,27-10-2023
151078,HSBC ELSS Tax saver Fund - Direct Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,95.717,27-10-2023
151079,HSBC ELSS Tax saver Fund - Direct IDCW Payout,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,33.7697,27-10-2023
151084,HSBC Dynamic Bond Fund - Regular Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,25.6059,27-10-2023
151085,HSBC Dynamic Bond Fund - Regular Monthly IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,10.6387,27-10-2023
151086,HSBC Dynamic Bond Fund - Direct Monthly IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,12.6749,27-10-2023
151087,HSBC Dynamic Bond Fund - Direct Growth,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,27.476,27-10-2023
151088,HSBC Dynamic Bond Fund - Direct Annual IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,11.1975,27-10-2023
151089,HSBC Dynamic Bond Fund - Regular Annual IDCW,HSBC Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,10.6583,27-10-2023
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,11.1156,27-10-2023
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,10.3179,27-10-2023
151104,HSBC Banking and PSU Debt Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,21.3362,27-10-2023
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,10.6257,27-10-2023
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,11.1973,27-10-2023
151107,HSBC Banking and PSU Debt Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,22.3316,27-10-2023
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,11.1905,27-10-2023
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,10.3451,27-10-2023
151110,HSBC Value Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,73.243,27-10-2023
151111,HSBC Value Fund - Regular IDCW,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,42.128,27-10-2023
151112,HSBC Value Fund - Direct IDCW,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,50.5467,27-10-2023
151113,HSBC Value Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,80.4249,27-10-2023
151114,HSBC Low Duration Fund - Regular Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,25.05,27-10-2023
151115,HSBC Low Duration Fund - Regular Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,10.3434,27-10-2023
151116,HSBC Low Duration Fund - Direct Monthly IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,11.0538,27-10-2023
151117,HSBC Low Duration Fund - Direct Growth,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,26.2306,27-10-2023
151118,HSBC Low Duration Fund - Direct Annual IDCW,HSBC Mutual Fund,Open Ended Schemes,Debt Scheme - Low Duration Fund,10.9893,27-10-2023
